mean_fit_time,"[91.23074765 90.27263398 89.65173702 89.5971333  89.66004753 89.97214689
 90.21324673 90.85493135 92.32985406 92.44708495 92.81053939 92.61598654
 94.20127659 96.87219377 92.22950048 91.5172399 ]"
std_fit_time,"[1.13710582 0.46191497 0.31167032 0.56030146 0.42171879 0.85757496
 0.50331725 0.43482107 0.23976867 0.7727955  0.52702894 0.57701296
 2.45107507 2.87199038 0.48612845 0.77344458]"
mean_score_time,"[8.13969569 8.11276317 8.41983633 8.5721365  8.55207915 8.59331937
 8.65186586 8.74970431 8.79333243 9.07678204 8.83644156 8.98061247
 9.18883362 9.3434875  8.94657397 8.21360455]"
std_score_time,"[0.13669773 0.20266253 0.10927109 0.05680981 0.18479404 0.18879143
 0.15169364 0.10182477 0.21712015 0.24385015 0.09499215 0.07220053
 0.19278277 0.48824278 0.01624197 1.32813127]"
param_kernel,"['linear' 'linear' 'linear' 'linear' 'linear' 'linear' 'linear' 'linear'
 'rbf' 'rbf' 'rbf' 'rbf' 'rbf' 'rbf' 'rbf' 'rbf']"
param_nu,"[0.5 0.5085714285714286 0.5171428571428571 0.5257142857142857
 0.5342857142857144 0.5428571428571429 0.5514285714285715 0.56 0.5
 0.5085714285714286 0.5171428571428571 0.5257142857142857
 0.5342857142857144 0.5428571428571429 0.5514285714285715 0.56]"
params,"[{'kernel': 'linear', 'nu': 0.5}, {'kernel': 'linear', 'nu': 0.5085714285714286}, {'kernel': 'linear', 'nu': 0.5171428571428571}, {'kernel': 'linear', 'nu': 0.5257142857142857}, {'kernel': 'linear', 'nu': 0.5342857142857144}, {'kernel': 'linear', 'nu': 0.5428571428571429}, {'kernel': 'linear', 'nu': 0.5514285714285715}, {'kernel': 'linear', 'nu': 0.56}, {'kernel': 'rbf', 'nu': 0.5}, {'kernel': 'rbf', 'nu': 0.5085714285714286}, {'kernel': 'rbf', 'nu': 0.5171428571428571}, {'kernel': 'rbf', 'nu': 0.5257142857142857}, {'kernel': 'rbf', 'nu': 0.5342857142857144}, {'kernel': 'rbf', 'nu': 0.5428571428571429}, {'kernel': 'rbf', 'nu': 0.5514285714285715}, {'kernel': 'rbf', 'nu': 0.56}]"
split0_test_score,"[0.783161   0.78463811 0.78581979 0.78670606 0.78611521 0.7872969
 0.78670606 0.788774   0.77991137 0.77902511 0.77695716 0.77902511
 0.77725258 0.77902511 0.77754801 0.77666174]"
split1_test_score,"[0.78345643 0.78581979 0.78581979 0.78611521 0.78759232 0.788774
 0.78700148 0.78641064 0.78936484 0.79084195 0.79143279 0.78936484
 0.788774   0.78818316 0.78906942 0.78700148]"
split2_test_score,"[0.79231905 0.79113737 0.79143279 0.78936484 0.79084195 0.79054653
 0.78966027 0.78818316 0.79054653 0.79143279 0.79113737 0.78847858
 0.7872969  0.78847858 0.78641064 0.78493353]"
split3_test_score,"[0.79586411 0.79468242 0.79645495 0.79497784 0.79527326 0.79320532
 0.78995569 0.78641064 0.79084195 0.78906942 0.78818316 0.78670606
 0.78670606 0.78936484 0.78641064 0.78611521]"
split4_test_score,"[0.78227474 0.78611521 0.78847858 0.788774   0.78936484 0.79054653
 0.79468242 0.79645495 0.79468242 0.79556869 0.79231905 0.78966027
 0.78847858 0.79054653 0.78995569 0.788774  ]"
mean_test_score,"[0.78741507 0.78847858 0.78960118 0.78918759 0.78983752 0.79007386
 0.78960118 0.78924668 0.78906942 0.78918759 0.78800591 0.78664697
 0.78570162 0.78711965 0.78587888 0.78469719]"
std_test_score,"[0.005579   0.00381997 0.00400467 0.00314092 0.00315202 0.00198262
 0.00286665 0.00372559 0.00491501 0.00550974 0.00569665 0.0039476
 0.00429164 0.00412998 0.00439929 0.00420869]"
rank_test_score,[11  9  3  6  2  1  3  5  8  6 10 13 15 12 14 16]
